,Tempo
0,0.8620848655700684
1,0.7676305770874023
2,0.7124714851379395
3,0.7612447738647461
4,0.7109076976776123
5,0.8375804424285889
6,0.7438745498657227
7,0.7603638172149658
8,0.8343760967254639
9,1.0452942848205566
10,0.7896475791931152
11,0.7995779514312744
12,0.7960786819458008
13,0.880023717880249
14,0.7508726119995117
15,0.7418656349182129
16,0.738985538482666
17,0.7382519245147705
18,0.7687008380889893
19,0.842679500579834
20,0.8653824329376221
21,0.7629740238189697
22,0.8353362083435059
23,0.7624967098236084
24,0.7572743892669678
25,0.7751057147979736
26,0.7659809589385986
27,0.7654850482940674
28,0.7848625183105469
29,0.7768020629882812
30,0.7874166965484619
31,0.8834848403930664
32,0.7811954021453857
33,0.848200798034668
34,0.876417875289917
35,0.7778439521789551
36,0.8599884510040283
37,0.8509247303009033
38,1.0599422454833984
39,0.962440013885498
40,0.9303176403045654
41,0.9275240898132324
42,0.8837413787841797
43,0.8349263668060303
44,0.8264045715332031
45,0.8443381786346436
46,0.8413510322570801
47,0.9861359596252441
48,1.0357489585876465
49,0.9267125129699707
50,0.9735352993011475
51,0.8481025695800781
52,0.8527295589447021
53,0.8866000175476074
54,0.8609287738800049
55,0.8739559650421143
56,0.8823370933532715
57,0.8814654350280762
58,0.8916947841644287
59,0.8997628688812256
60,0.8897576332092285
61,0.8859014511108398
62,0.8882591724395752
63,0.9239187240600586
64,0.9199275970458984
65,0.9352185726165771
66,1.0156669616699219
67,1.6217973232269287
68,1.2971811294555664
69,0.9357616901397705
70,0.9228651523590088
71,1.0151994228363037
72,1.1508052349090576
73,1.0931532382965088
74,1.124258041381836
75,1.02597975730896
76,1.1740400791168213
77,1.1518878936767578
78,1.2174065113067627
79,1.22926664352417
80,1.2836055755615234
81,1.0692839622497559
82,1.0981884002685547
83,1.202404499053955
84,1.1030662059783936
85,1.154524326324463
86,1.0226893424987793
87,1.1347544193267822
88,1.155412197113037
89,1.0910167694091797
90,1.1461210250854492
91,1.2782611846923828
92,1.2672107219696045
93,1.1130964756011963
94,1.0635871887207031
95,1.0994946956634521
96,1.20135498046875
97,1.1469995975494385
98,1.2720203399658203
99,1.1678979396820068
100,1.2387702465057373
101,1.104429006576538
102,1.1690285205841064
103,1.180323839187622
104,1.1349871158599854
105,1.2958400249481201
106,1.1068968772888184
107,1.1121339797973633
108,1.1361281871795654
109,1.2082552909851074
110,1.2473788261413574
111,1.1865479946136475
112,1.8834877014160156
113,1.331641674041748
114,1.409794569015503
115,1.2672030925750732
116,1.227600336074829
117,1.1636741161346436
118,1.1601817607879639
119,1.1249291896820068
120,1.1694676876068115
121,1.5000011920928955
122,1.566286325454712
123,1.2547190189361572
124,1.2160964012145996
125,1.165029764175415
126,1.182255506515503
127,1.301537036895752
128,1.1597847938537598
129,1.3230326175689697
130,1.3727672100067139
131,1.182286262512207
132,1.2014589309692383
133,1.2961220741271973
134,1.1873488426208496
135,1.2729897499084473
136,1.241889476776123
137,1.229201316833496
138,1.2136170864105225
139,1.3537547588348389
140,1.2408349514007568
141,1.252528190612793
142,1.2205822467803955
143,1.685784101486206
144,2.2142395973205566
145,1.2740426063537598
146,1.2697181701660156
147,1.4119768142700195
148,1.1989068984985352
149,1.2205133438110352
150,1.2293269634246826
151,1.2267615795135498
152,1.2636802196502686
153,1.3304290771484375
154,1.2304761409759521
155,1.396630048751831
156,1.4393341541290283
157,1.2834882736206055
158,1.324176549911499
159,1.3507733345031738
160,2.8754634857177734
161,2.283000946044922
162,1.3465430736541748
163,1.4571373462677002
164,1.7063860893249512
165,2.0435521602630615
166,2.6012494564056396
167,1.2990367412567139
168,1.325699806213379
169,1.468559980392456
170,2.018436908721924
171,1.5896482467651367
172,1.4023828506469727
173,1.6128571033477783
174,1.4367787837982178
175,1.4938926696777344
176,1.457432508468628
177,1.4458811283111572
178,1.5496351718902588
179,1.424675703048706
180,1.4273767471313477
181,1.418276309967041
182,1.4507949352264404
183,1.4349584579467773
184,1.4824130535125732
185,1.4347541332244873
186,1.438643217086792
187,1.5272865295410156
188,1.4564180374145508
189,1.6041743755340576
190,1.4264116287231445
191,1.4343054294586182
192,1.5263164043426514
193,1.5531120300292969
194,1.491847038269043
195,1.5177056789398193
196,1.5243875980377197
197,1.9364511966705322
198,1.7060341835021973
199,1.6370232105255127
200,1.5393199920654297
201,1.5757355690002441
202,1.6745216846466064
203,1.5625410079956055
204,1.5990290641784668
205,1.6554491519927979
206,1.5900113582611084
207,2.993321180343628
208,3.0710642337799072
209,1.5478806495666504
210,1.6377699375152588
211,1.856431007385254
212,1.653421401977539
213,1.7542757987976074
214,1.8313970565795898
215,1.6352581977844238
216,1.6202144622802734
217,1.6719491481781006
218,1.7130138874053955
219,1.5975699424743652
220,1.6542761325836182
221,1.7448089122772217
222,1.63093900680542
223,1.7506179809570312
224,1.651625633239746
225,1.696429967880249
226,1.7197487354278564
227,1.7167727947235107
228,1.707967758178711
229,1.6605281829833984
230,1.728273868560791
231,1.7930705547332764
232,1.7781167030334473
233,1.6823291778564453
234,1.7738773822784424
235,1.6638085842132568
236,1.6791062355041504
237,1.768383264541626
238,1.722715139389038
239,1.8554809093475342
240,1.7527766227722168
241,1.7313170433044434
242,1.7764990329742432
243,1.7241342067718506
244,1.7059316635131836
245,1.8052787780761719
246,1.7157433032989502
247,1.7789349555969238
248,1.7082641124725342
249,1.7184748649597168
250,1.7197654247283936
251,1.6191279888153076
252,1.7356235980987549
253,1.8795273303985596
254,1.9419405460357666
255,1.7629454135894775
256,1.7142746448516846
257,1.9307222366333008
258,1.8098931312561035
259,1.854513168334961
260,1.9371776580810547
261,1.849524974822998
262,1.9144537448883057
263,1.8454535007476807
264,1.8469200134277344
265,1.899416446685791
266,1.818958044052124
